Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SALA:Zone Mean Air Temperature [C](TimeStep),SALA:Zone Operative Temperature [C](TimeStep),JANSO:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSL:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSS:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SALA:AFN Zone Infiltration Air Change Rate [ach](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep)
 01/02  22:30:00,24.3,23.66455353,23.58375783,0,0,0,0,0,0
 01/02  22:40:00,24.3,23.66761848,23.52243737,0,0,0,0,0,0
 01/02  22:50:00,24.3,23.65775535,23.46375696,0,0,0,0,0,0
 01/02  23:00:00,24.3,23.60655326,23.39311151,0,0,0,0,0,0
 01/02  23:10:00,24.28333333,23.52489994,23.31242169,0,0,0,0,0,0
 01/02  23:20:00,24.26666667,23.44247218,23.23475706,0,0,0,0,0,0
 01/02  23:30:00,24.25,23.37349212,23.16668485,0,0,0,0,0,0
 01/02  23:40:00,24.23333333,23.31473592,23.10655564,0,0,0,0,0,0
 01/02  23:50:00,24.21666667,23.26028749,23.05119512,0,0,0,0,0,0
 01/02  24:00:00,24.2,23.20854948,22.99942824,0,0,0,0,0,0
 01/03  00:10:00,24.15,23.15945292,22.95047296,0,0,0,0,0,0
 01/03  00:20:00,24.1,23.10769768,22.90161374,0,0,0,0,0,0
 01/03  00:30:00,24.05,23.05757174,22.85456141,0,0,0,0,0,0
 01/03  00:40:00,24,23.01380648,22.8115451,0,0,0,0,0,0
 01/03  00:50:00,23.95,22.97457467,22.7717235,0,0,0,0,0,0
 01/03  01:00:00,23.9,22.9393212,22.73479303,0,0,0,0,0,0
 01/03  01:10:00,23.9,22.90775624,22.7013265,0,0,0,0,0,0
